Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/annotate-carpark,1209,22,1700,1967.0184014890438,100.5420999135822,21014.145199907944,1536915.4276261374,6.719072851671927,0.1222660072264536,1700,2000,2200,2300,2600,2900,4000,21000,21000,21000,21000
GET,/api/find-carparks,1204,11,27,308.8693466813743,11.423700023442507,21012.487499974668,1131.079734219269,6.691285122756825,0.0611330036132268,27,35,42,50,73,97,160,13000,21000,21000,21000
,Aggregated,2413,33,180,1139.661807212859,11.423700023442507,21014.145199907944,770614.4102776627,13.410357974428752,0.1833990108396804,180,1300,1700,2000,2400,2700,3500,21000,21000,21000,21000
